Source_ID,Name,Category,Publisher,Geographic_Coverage,Spatial_Resolution,Update_Frequency,Data_Format,Licensing_Cost,Access_Method,Endpoint_URL_Or_Ingestion_Path,Zarati_Role
SRC-001,WFP Sudan Market Monitor,Crop Prices & Food Security,UN World Food Programme (VAM),Nationwide (18 States),Market-level (70+ markets),Monthly,CSV / PDF / HDX API,Free Open Access,HDX CKAN API / Webhook,https://data.humdata.org/dataset/wfp-food-prices-for-sudan,Secondary market price validation & historical baseline
SRC-002,FAO FPMA,Food Price Monitoring & Analysis,UN Food and Agriculture Organization,Primary Wholesale Markets (Khartoum Gedaref El Obeid),Wholesale/Retail market points,Monthly / Fortnightly,REST API / SDMX / CSV,Free Open Access,REST API / Direct Download,https://fpma.fao.org/giews/fpmat4/,International benchmark comparison
SRC-003,FEWS NET Sudan Price Bulletins,Food Security Early Warning,USAID / Chemonics,National Key Markets,State/Market level,Monthly,PDF Bulletins / CSV,Public Domain,Direct HTTP Download,https://fews.net/east-africa/sudan,Drought anomaly & food security deficit tracking
SRC-004,Open-Meteo API,Weather Forecasts & Agro-Meteorology,Open-Meteo GmbH (ECMWF IFS / GFS Blend),Nationwide (18 States),0.1 deg (~11 km),Hourly (16-day forecast),JSON REST API,Free Open Data (Self-Hostable),REST API,https://api.open-meteo.com/v1/forecast,Primary operational weather forecast
SRC-005,CHIRPS Rainfall,Precipitation Monitoring,UCSB Climate Hazards Group / USGS,Nationwide (18 States),0.05 deg (~5.3 km),Daily & Pentadal,GeoTIFF / NetCDF,Public Domain (CC0),HTTP / FTP / Google Earth Engine,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,Rainfall onset validation & drought anomaly tracking
SRC-006,Copernicus Sentinel-2,Earth Observation Multispectral,European Space Agency / Copernicus,Nationwide (18 States),10m (VNIR) 20m (SWIR),5 days revisit,Cloud-Optimized GeoTIFF (COG),Free Open Access (CC-BY 4.0),AWS Open Data STAC API (Earth Search),s3://sentinel-cogs / https://earth-search.aws.element84.com/v1,Field polygon NDVI/NDWI crop health & phenology
SRC-007,Landsat 8-9 OLI/TIRS,Earth Observation Multispectral & Thermal,USGS / NASA,Nationwide (18 States),30m multispectral 100m thermal,8 days combined,Cloud-Optimized GeoTIFF (COG),Public Domain,USGS STAC / AWS S3,s3://usgs-landsat / https://landsatlook.usgs.gov/stac-server,Long-term crop rotation baseline & soil thermal stress
SRC-008,ERA5-Land,Historical Climate Reanalysis,Copernicus Climate Change Service (C3S),Nationwide (18 States),0.1 deg (~9 km),Hourly (1950 to present),GRIB / NetCDF,Copernicus Open Licence,Copernicus Climate Data Store (CDS) API,https://cds.climate.copernicus.eu/api/v2,30-year climate norm baseline & agro-climatic zoning
SRC-009,NASA POWER,Agro-Climatology & Solar Radiation,NASA Langley Research Center,Nationwide (18 States),0.5 deg (~55 km),Daily,JSON / CSV REST API,Public Domain,REST API,https://power.larc.nasa.gov/api/,Solar radiation & Penman-Monteith ET0 evapotranspiration
SRC-010,Gedaref Crop Exchange Feed,Spot Cash Crop Auctions,Gedaref State Chamber of Commerce,Gedaref Central Auction Market,Market floor auction lot,Daily (Working days),SMS / WhatsApp / Local Ledger,Public / Municipal,Zarati Certified Market Agent SMS Relay,Local Gedaref Auction Floor Intake,Real-time spot cash price discovery for Sorghum & Sesame
SRC-011,El Obeid Crop Exchange Feed,Gum Arabic & Oilseed Auctions,North Kordofan Ministry of Production,El Obeid Central Exchange Floor,Market floor auction lot,Daily (Working days),SMS / WhatsApp / Local Ledger,Public / Municipal,Zarati Certified Market Agent SMS Relay,Local El Obeid Exchange Floor Intake,Real-time spot cash price discovery for Gum Arabic & Peanuts
SRC-012,Bankak Open Banking / QR,Payment Rails & Escrow,Bank of Khartoum (BOK),Nationwide,Account / Phone / QR,Real-Time (24/7),JSON Webhook / ISO 8583 / MT940,Commercial Banking Agreement,Direct BOK Core Banking Gateway,Bank of Khartoum Enterprise API Gateway,Marketplace escrow locking & transaction settlement
